Fecha,Lugar,Delito,Detenciones
08/04/25,Bilbao,Robo domicilio,1
08/04/25,Eibar,Robo comercio,0
08/04/25,Bilbao,Lesiones,2
09/04/25,Bilbao,Homicidio tentativa,1
09/04/25,Bilbao,Lesiones,3
09/04/25,Zizurkil,Requisitoria,1
10/04/25,Abanto y Zierbena,Robo comercio,1
10/04/25,Santurtzi,Robo violencia,2
10/04/25,Getxo,Robo violencia,1
11/04/25,Iruña de Oca,Salud pública,1
13/04/25,Leioa,Lesiones,1
13/04/25,Irun,Homicidio,2
14/04/25,Donostia,Lesiones,6
14/04/25,Ermua,Salud pública,1
15/04/25,Lezo,Robo domicilio,1
16/04/25,Bilbao,Robo violencia,1
16/04/25,Irun,Lesiones,1
17/04/25,Gasteiz,Robo violencia,1
18/04/25,Bilbao,Orden público,6
18/04/25,Bilbao,Robo domicilio,1
19/04/25,Donostia,Riña tumultuaria,1
19/04/25,Gasteiz,Lesiones,2
20/04/25,Irun,Homicidio,1
21/04/25,Donostia,Salud pública,1
22/04/25,Bilbao,Estafa,1
24/04/25,Lasarte-Oria,Robo comercio,3
25/04/25,Bilbao,Estafa,1
25/04/25,Getxo,Robo domicilio,1
25/04/25,Irun,Lesiones,1
26/04/25,Getxo,Robo violencia,1
26/04/25,Santurtzi,Lesiones,1
27/04/25,Gasteiz,Robo violencia,1
29/04/25,Tolosa,Lesiones,1
29/04/25,Gasteiz,Robo violencia,1
30/04/25,Bilbao,Robo domicilio,1
30/04/25,Santurtzi,Robo violencia,1
01/05/25,Sestao,Lesiones,2
01/05/25,Donostia,Agresión sexual,0
01/05/25,Donostia,Robo violencia,1
02/05/25,Bilbao,Orden público,2
02/05/25,Bilbao,Lesiones,2
02/05/25,Ermua,Robo comercio,1
02/05/25,Eibar,Robo comercio,1
03/05/25,Irun,Lesiones,1
04/05/25,Gasteiz,Lesiones,1
05/05/25,Zumárraga,Hurto,1
05/05/25,Portugalete,Robo comercio,2
05/05/25,Gasteiz,Seguridad vial,1
05/05/25,Andoain,Salud pública,1
06/05/25,Irun,Lesiones,1
06/05/25,Santurtzi,Robo violencia,1
07/05/25,Andoain,Seguridad vial,1
08/05/25,Gernika,Robo comercio,3
09/05/25,Donostia,Estafa,1
09/05/25,Getxo,Salud pública,6
09/05/25,Bilbao,Lesiones,1
11/05/25,Idiazabal,Trata seres humanos,2
13/05/25,Donostia,Robo domicilio,1
13/05/25,Lemoa,Robo comercio,2
14/05/25,Gasteiz,Robo violencia,1
14/05/25,Getxo,Salud pública,1
15/05/25,Irun,Robo violencia,2
15/05/25,Barakaldo,Daños,1
15/05/25,Santurtzi,Robo comercio,1
15/05/25,Ermua,Robo domicilio,2
16/05/25,Leioa,Salud pública,1
16/05/25,Portugalete,Robo comercio,1
16/05/25,Irun,Revelación secretos,1
17/05/25,Donostia,Robo comercio,1
18/05/25,Irun,Salud pública,1
18/05/25,Barakaldo,Homicidio,1
18/05/25,Bilbao,Homicidio tentativa,1
19/05/25,Bilbao,Salud pública,2
21/05/25,Bilbao,Robo violencia,1
21/05/25,Amurrio,Robo domicilio,1
21/05/25,Donostia,Robo comercio,3
22/05/25,Sopela,Robo violencia,1
24/05/25,Tolosa,Robo violencia,1
25/05/25,Donostia,Robo vehículo,2
25/05/25,Derio,Robo comercio,1
25/05/25,Renteria,Robo comercio,1
26/05/25,Donostia,Lesiones,2
26/05/25,Bilbao,Agresión sexual,6
27/05/25,Donostia,Robo violencia,1
28/05/25,Bilbao,Salud pública,1
28/05/25,Bilbao,Agresión sexual,1
28/05/25,Gasteiz,Robo violencia,1
01/06/25,Bilbao,VG,1
01/06/25,Gasteiz,Lesiones,2
02/06/25,Ondarroa,Robo comercio,3
02/06/25,Lezo,Salud pública,3
02/06/25,Lemoa,Usurpación,1
03/06/25,Donostia,Hurto de uso de vehículo a motor,1
03/06/25,Euskadi,Trata seres humanos,19
04/06/25,Donostia,Salud pública,2
05/06/25,Astigarraga,Salud pública,2
05/06/25,Arama,Robo comercio,1
06/06/25,Lezo,Salud pública,3
06/06/25,Zalla,Robo comercio,1
07/06/25,Portugalete,Robo comercio,1
08/06/25,Beasain,Agresión sexual,1
09/06/25,Astigarraga,Robo domicilio,1
10/06/25,Irun,Robo violencia,1
